student_id,internship_id,cf_score
STU_0001,INT_0001,0.39238947502295307
STU_0001,INT_0002,0.2648017508144852
STU_0001,INT_0003,0.200950637614348
STU_0001,INT_0004,0.3455225062493851
STU_0001,INT_0005,0.317465773850541
STU_0001,INT_0006,0.23703079276025718
STU_0001,INT_0007,0.35952502900818045
STU_0001,INT_0008,0.250059596092666
STU_0001,INT_0009,0.17812202586741627
STU_0001,INT_0010,0.2226845068647312
STU_0001,INT_0011,0.2512872333909832
STU_0001,INT_0012,0.25557465913567634
STU_0001,INT_0013,0.24077266231253058
STU_0001,INT_0014,0.2536511853517732
STU_0001,INT_0015,0.11733138373822236
STU_0001,INT_0016,0.30783039155693426
STU_0001,INT_0017,0.38867426674170585
STU_0001,INT_0018,0.20952967322958505
STU_0001,INT_0019,0.1769528238702301
STU_0001,INT_0020,0.2153359366580964
STU_0001,INT_0021,0.2402467736221394
STU_0001,INT_0022,0.23634580176103473
STU_0001,INT_0023,0.208773100965099
STU_0001,INT_0024,0.26907069433413117
STU_0001,INT_0025,0.27027687059207883
STU_0001,INT_0026,0.3014707867182317
STU_0001,INT_0027,0.1887433686617775
STU_0001,INT_0028,0.24293833261202452
STU_0001,INT_0029,0.2886792135603583
STU_0001,INT_0030,0.27933462009889015
STU_0001,INT_0031,0.2617332953444957
STU_0001,INT_0032,0.25866120712463453
STU_0001,INT_0033,0.2391806736567141
STU_0001,INT_0034,0.2330103517067498
STU_0001,INT_0035,0.1690000827749891
STU_0001,INT_0036,0.27107680452114374
STU_0001,INT_0037,0.2151142835145104
STU_0001,INT_0038,0.18337065031889477
STU_0001,INT_0039,0.32250931809575656
STU_0001,INT_0040,0.25396492883651417
STU_0001,INT_0041,0.23295188738583036
STU_0001,INT_0042,0.2927352764040924
STU_0001,INT_0043,0.22174175419070016
STU_0001,INT_0044,0.23058296248857835
STU_0001,INT_0045,0.6364747461781572
STU_0001,INT_0046,0.1926371911022923
STU_0001,INT_0047,0.30320687445229105
STU_0001,INT_0048,0.3610814394034528
STU_0001,INT_0049,0.290156182284962
STU_0001,INT_0050,0.4496198745408067
STU_0001,INT_0051,0.14469622106637403
STU_0001,INT_0052,0.23692330874045214
