student_id,internship_id,rank,hybrid_v2,hybrid_score,cf_score,has_content_score,has_cf_score,title,company,domain,location,stipend
STU_0001,INT_0131,1,0.5398707105602885,0.3144391244452093,0.8059087328288856,True,True,internship 131,company 131,ai/ml,chennai,10000
STU_0001,INT_0161,2,0.49039453891617546,0.2806654652526108,0.740624001851188,True,True,internship 161,company 161,ai/ml,mumbai,20000
STU_0001,INT_0001,3,0.4542263837135645,0.4297489817244351,0.392389475022953,True,True,internship 1,company 1,web development,pune,30000
STU_0001,INT_0007,4,0.45011792717234994,0.442813778415125,0.3595250290081804,True,True,internship 7,company 7,ai/ml,bangalore,25000
STU_0001,INT_0114,5,0.4340730392968276,0.2815554855274903,0.5982811167793851,True,True,internship 114,company 114,ai/ml,pune,15000
STU_0002,INT_0007,1,0.5193729386098925,0.5665320445918938,0.3187132290261537,True,True,internship 7,company 7,ai/ml,bangalore,25000
STU_0002,INT_0196,2,0.4694499048282091,0.3795342415636237,0.5172859799049678,True,True,internship 196,company 196,ai/ml,mumbai,10000
STU_0002,INT_0148,3,0.442762401542276,0.4331733792103515,0.3578076168270198,True,True,internship 148,company 148,ai/ml,chennai,25000
STU_0002,INT_0112,4,0.4288335879767881,0.468204882058097,0.2624046618828478,True,True,internship 112,company 112,ai/ml,delhi,30000
STU_0002,INT_0053,5,0.4122660889067915,0.3723283208711845,0.3867878327604159,True,True,internship 53,company 53,web development,mumbai,15000
STU_0003,INT_0153,1,0.5581250849887052,0.6742680208227537,0.2292828706931837,True,True,internship 153,company 153,data science,chennai,0
STU_0003,INT_0105,2,0.5187192048455074,0.3156139248408259,0.7509983545885519,True,True,internship 105,company 105,data science,mumbai,0
STU_0003,INT_0156,3,0.5175083535403536,0.574984098439864,0.2994354020777156,True,True,internship 156,company 156,data science,delhi,20000
STU_0003,INT_0088,4,0.5116154906973645,0.5847273874345662,0.2678539129923851,True,True,internship 88,company 88,data science,mumbai,0
STU_0003,INT_0086,5,0.5003504004358013,0.4603686600642682,0.4547480826995165,True,True,internship 86,company 86,data science,delhi,30000
STU_0004,INT_0118,1,0.6545889904346835,0.5385931317792663,0.7050688727165066,True,True,internship 118,company 118,ai/ml,chennai,10000
STU_0004,INT_0013,2,0.5797522388963161,0.2814332181383279,0.9626905560659992,True,True,internship 13,company 13,mobile apps,bangalore,10000
STU_0004,INT_0031,3,0.5428306105944044,0.3028435694749494,0.8333609883122644,True,True,internship 31,company 31,ai/ml,pune,10000
STU_0004,INT_0106,4,0.5396626740962271,0.3936321523410357,0.6684380064084978,True,True,internship 106,company 106,mobile apps,bangalore,30000
STU_0004,INT_0097,5,0.535365305267108,0.3498969697943871,0.7333270129993035,True,True,internship 97,company 97,mobile apps,chennai,0
STU_0005,INT_0072,1,0.5519023414104068,0.3625245405865129,0.7528324052136677,True,True,internship 72,company 72,mobile apps,delhi,20000
STU_0005,INT_0007,2,0.4703212937186085,0.5317183441171848,0.2562883863207936,True,True,internship 7,company 7,ai/ml,bangalore,25000
STU_0005,INT_0114,3,0.4623991064962281,0.4868014478953636,0.3141589162022902,True,True,internship 114,company 114,ai/ml,pune,15000
STU_0005,INT_0196,4,0.4610888725978432,0.5184325980611542,0.2561827318667372,True,True,internship 196,company 196,ai/ml,mumbai,10000
STU_0005,INT_0008,5,0.4473637050613699,0.5123971562454936,0.23230706505004,True,True,internship 8,company 8,ai/ml,hyderabad,0
STU_0006,INT_0022,1,0.5018250887852908,0.2878032784796255,0.7568567639386053,True,True,internship 22,company 22,mobile apps,pune,10000
STU_0006,INT_0144,2,0.4711828060941423,0.2021570686983325,0.8283613536450183,True,True,internship 144,company 144,web development,bangalore,30000
STU_0006,INT_0004,3,0.4502523739745353,0.5504418769402096,0.1737369775546394,True,True,internship 4,company 4,mobile apps,delhi,15000
STU_0006,INT_0137,4,0.4378826424100678,0.4052884509947222,0.3938303761078542,True,True,internship 137,company 137,web development,delhi,20000
STU_0006,INT_0052,5,0.43235890490761153,0.4367545950460652,0.3256057822783096,True,True,internship 52,company 52,web development,pune,10000
STU_0007,INT_0146,1,0.4757879517050726,0.3029343455519928,0.6655973595749325,True,True,internship 146,company 146,web development,bangalore,10000
STU_0007,INT_0145,2,0.46546246177536527,0.3614974390998707,0.5385089003796464,True,True,internship 145,company 145,web development,mumbai,15000
STU_0007,INT_0016,3,0.4613455378203711,0.4302068682619338,0.4093955247729587,True,True,internship 16,company 16,software development,mumbai,15000
STU_0007,INT_0067,4,0.40376454609699275,0.3986586002696399,0.3200003146800325,True,True,internship 67,company 67,software development,mumbai,15000
STU_0007,INT_0105,5,0.38912806959337887,0.3588134718995415,0.3523143766648652,True,True,internship 105,company 105,data science,mumbai,0
STU_0008,INT_0043,1,0.540376630263514,0.6157823236590553,0.2860526246003131,True,True,internship 43,company 43,web development,delhi,15000
STU_0008,INT_0001,2,0.5247218095991428,0.6376357129092367,0.2091239185485665,True,True,internship 1,company 1,web development,pune,30000
STU_0008,INT_0200,3,0.521270116095589,0.6157823236590553,0.2382863391805006,True,True,internship 200,company 200,web development,delhi,25000
STU_0008,INT_0020,4,0.48696538988685123,0.4991350060741082,0.3542458704630093,True,True,internship 20,company 20,web development,pune,20000
STU_0008,INT_0147,5,0.47776067408667267,0.5160891314837833,0.3019148554343891,True,True,internship 147,company 147,web development,hyderabad,20000
STU_0009,INT_0069,1,0.48242633518920475,0.2422940697914026,0.7870601797808603,True,True,internship 69,company 69,web development,pune,15000
STU_0009,INT_0126,2,0.4276737792465525,0.4328392827327272,0.3206638231213718,True,True,internship 126,company 126,web development,bangalore,25000
STU_0009,INT_0007,3,0.4221062313254337,0.4263338651713376,0.3179949470533433,True,True,internship 7,company 7,ai/ml,bangalore,25000
STU_0009,INT_0070,4,0.41281237917447716,0.431683087034214,0.2855097632909681,True,True,internship 70,company 70,web development,bangalore,20000
STU_0009,INT_0089,5,0.3925297905138718,0.4337264053098085,0.231269726333054,True,True,internship 89,company 89,web development,bangalore,10000
STU_0010,INT_0023,1,0.5146166243883008,0.3255644724850527,0.7235341535050143,True,True,internship 23,company 23,web development,delhi,30000
STU_0010,INT_0191,2,0.48125163571245405,0.5335631926876552,0.2804238950034931,True,True,internship 191,company 191,software development,delhi,0
STU_0010,INT_0138,3,0.4273762657816258,0.4245632295737352,0.3342320410037157,True,True,internship 138,company 138,software development,pune,25000
STU_0010,INT_0104,4,0.4198127436559126,0.4255040460921649,0.3136962563544367,True,True,internship 104,company 104,software development,mumbai,15000
STU_0010,INT_0066,5,0.40360616077023326,0.4156031350043874,0.2903017112473228,True,True,internship 66,company 66,web development,hyderabad,25000
STU_0011,INT_0035,1,0.5288249426602724,0.2641926981700519,0.8651868108248748,True,True,internship 35,company 35,ai/ml,delhi,20000
STU_0011,INT_0004,2,0.5243396589616961,0.4474315349615959,0.537093747761519,True,True,internship 4,company 4,mobile apps,delhi,15000
STU_0011,INT_0047,3,0.4142186146884427,0.3903152943605018,0.3605637896947967,True,True,internship 47,company 47,software development,delhi,25000
STU_0011,INT_0083,4,0.4097351697520705,0.3885641395440442,0.3523834965244424,True,True,internship 83,company 83,mobile apps,delhi,20000
STU_0011,INT_0072,5,0.40517149928213664,0.4159532082888522,0.2936096663712065,True,True,internship 72,company 72,mobile apps,delhi,20000
