student_id,internship_id,success_prob,rank_fair,skill_match_count
STU_0001,INT_0001,0.001058290762228,1,1
STU_0001,INT_0114,0.0010495108878222,2,0
STU_0001,INT_0007,0.0010392929083133,3,0
STU_0001,INT_0161,0.0009973205509117,4,0
STU_0001,INT_0131,0.0009953100138326,5,1
STU_0002,INT_0053,0.0010506126889146,1,2
STU_0002,INT_0112,0.0010378991420521,2,1
STU_0002,INT_0007,0.0010240177852803,3,2
STU_0002,INT_0148,0.0010219061358501,4,2
STU_0002,INT_0196,0.0010134927779682,5,1
STU_0003,INT_0086,0.0010462376825457,1,1
STU_0003,INT_0088,0.0010254717121465,2,1
STU_0003,INT_0156,0.0010203983017712,3,1
STU_0003,INT_0105,0.0009997269185183,4,0
STU_0003,INT_0153,0.0009996960001349,5,1
STU_0004,INT_0106,0.0009969431377921,1,2
STU_0004,INT_0031,0.0009834726672449,2,1
STU_0004,INT_0118,0.0009742431897214,3,2
STU_0004,INT_0013,0.0009682594438276,4,0
STU_0004,INT_0097,0.0009645691133854,5,0
STU_0005,INT_0114,0.0010790833471473,1,1
STU_0005,INT_0007,0.001045373636201,2,1
STU_0005,INT_0008,0.0010440091645783,3,2
STU_0005,INT_0196,0.0010355133174451,4,2
STU_0005,INT_0072,0.0010130921371447,5,2
STU_0006,INT_0137,0.0010352451813619,1,1
STU_0006,INT_0052,0.0010338476597916,2,2
STU_0006,INT_0004,0.0010321156964706,3,1
STU_0006,INT_0022,0.0010011502417202,4,1
STU_0006,INT_0144,0.0009960565346984,5,0
STU_0007,INT_0067,0.0010166563712121,1,1
STU_0007,INT_0016,0.0010161599639013,2,1
STU_0007,INT_0145,0.0010145213715236,3,0
STU_0007,INT_0105,0.0010144096876602,4,1
STU_0007,INT_0146,0.0010114924752152,5,1
STU_0008,INT_0043,0.0009989946318372,1,1
STU_0008,INT_0020,0.0009959718309854,2,1
STU_0008,INT_0001,0.0009948274179471,3,1
STU_0008,INT_0200,0.0009888245675116,4,1
STU_0008,INT_0147,0.000973639914004,5,1
STU_0009,INT_0007,0.0010426023107436,1,1
