student_id,internship_id,rank,hybrid_v2,success_prob,combined_score,title,company,domain,location,stipend,actual_success
STU_0001,INT_0131,1,0.5398707105602885,0.000995310013832659,0.3782080903963517,internship 131,company 131,ai/ml,chennai,10000,0.0
STU_0001,INT_0161,2,0.4903945389161754,0.0009973205509117053,0.3435753734065963,internship 161,company 161,ai/ml,mumbai,20000,0.0
STU_0001,INT_0001,3,0.4542263837135645,0.0010582907622280124,0.31827595582816354,internship 1,company 1,web development,pune,30000,0.0
STU_0001,INT_0007,4,0.4501179271723499,0.0010392929083133662,0.31539433689313895,internship 7,company 7,ai/ml,bangalore,25000,0.0
STU_0001,INT_0114,5,0.4340730392968276,0.0010495108878222587,0.304165980774126,internship 114,company 114,ai/ml,pune,15000,0.0
STU_0002,INT_0007,1,0.5193729386098925,0.0010240177852803688,0.36386826236250885,internship 7,company 7,ai/ml,bangalore,25000,0.0
STU_0002,INT_0196,2,0.4694499048282091,0.0010134927779682692,0.32891898121313684,internship 196,company 196,ai/ml,mumbai,10000,0.0
STU_0002,INT_0148,3,0.442762401542276,0.0010219061358501635,0.31024025292034824,internship 148,company 148,ai/ml,chennai,25000,0.0
STU_0002,INT_0112,4,0.4288335879767881,0.0010378991420521826,0.3004948813263673,internship 112,company 112,ai/ml,delhi,30000,0.0
STU_0002,INT_0053,5,0.4122660889067915,0.0010506126889146033,0.2889014460414284,internship 53,company 53,web development,mumbai,15000,0.0
STU_0003,INT_0153,1,0.5581250849887052,0.0009996960001349131,0.3909874682921341,internship 153,company 153,data science,chennai,0,0.0
STU_0003,INT_0105,2,0.5187192048455074,0.0009997269185183632,0.36340336146741065,internship 105,company 105,data science,mumbai,0,0.0
STU_0003,INT_0156,3,0.5175083535403536,0.0010203983017712426,0.3625619669687789,internship 156,company 156,data science,delhi,20000,0.0
STU_0003,INT_0088,4,0.5116154906973645,0.0010254717121465117,0.35843848500179903,internship 88,company 88,data science,mumbai,0,0.0
STU_0003,INT_0086,5,0.5003504004358013,0.0010462376825457228,0.3505591516098246,internship 86,company 86,data science,delhi,30000,0.0
STU_0004,INT_0118,1,0.6545889904346835,0.0009742431897214123,0.45850456626119485,internship 118,company 118,ai/ml,chennai,10000,0.0
STU_0004,INT_0013,2,0.5797522388963161,0.0009682594438276816,0.40611704506056956,internship 13,company 13,mobile apps,bangalore,10000,0.0
STU_0004,INT_0031,3,0.5428306105944044,0.0009834726672449492,0.3802764692162565,internship 31,company 31,ai/ml,pune,10000,0.0
STU_0004,INT_0106,4,0.5396626740962271,0.0009969431377921548,0.3780629548086966,internship 106,company 106,mobile apps,bangalore,30000,0.0
STU_0004,INT_0097,5,0.535365305267108,0.0009645691133854758,0.3750450844209912,internship 97,company 97,mobile apps,chennai,0,0.0
STU_0005,INT_0072,1,0.5519023414104068,0.0010130921371447634,0.38663556662842824,internship 72,company 72,mobile apps,delhi,20000,0.0
