student_id,internship_id,rank,content_score,hybrid_score,title,company,domain,location,stipend,degree_match,level_match,location_match
STU_0001,INT_0007,1,0.26898283369075077,0.442813778415125,internship 7,company 7,ai/ml,bangalore,25000,1.0,0.6,1.0
STU_0001,INT_0001,2,0.5160304658301345,0.4297489817244351,internship 1,company 1,web development,pune,30000,0.3,0.6,0.3
STU_0001,INT_0008,3,0.331420108375736,0.3963105811870531,internship 8,company 8,ai/ml,hyderabad,0,1.0,0.6,0.3
STU_0001,INT_0003,4,0.31517406233192297,0.3830925003551775,internship 3,company 3,ai/ml,chennai,15000,1.0,0.6,0.3
STU_0001,INT_0107,5,0.18197569429798766,0.37202317506817784,internship 107,company 107,ai/ml,bangalore,0,1.0,0.6,1.0
STU_0002,INT_0007,1,0.4940624314015712,0.5665320445918938,internship 7,company 7,ai/ml,bangalore,25000,1.0,0.8,0.3
STU_0002,INT_0112,2,0.2536174169273707,0.46820488205809707,internship 112,company 112,ai/ml,delhi,30000,1.0,0.8,1.0
STU_0002,INT_0148,3,0.33015429332260565,0.4331733792103515,internship 148,company 148,ai/ml,chennai,25000,1.0,0.8,0.3
STU_0002,INT_0114,4,0.33015429332260565,0.4331733792103515,internship 114,company 114,ai/ml,pune,15000,1.0,0.8,0.3
STU_0002,INT_0035,5,0.20614838513243186,0.429583207739051,internship 35,company 35,ai/ml,delhi,20000,1.0,0.8,1.0
STU_0003,INT_0153,1,0.5460774249203818,0.6742680208227537,internship 153,company 153,data science,chennai,0,1.0,0.6,1.0
STU_0003,INT_0088,2,0.5556183541859321,0.5847273874345662,internship 88,company 88,data science,mumbai,0,1.0,0.6,0.3
STU_0003,INT_0156,3,0.5094735797903894,0.574984098439864,internship 156,company 156,data science,delhi,20000,1.0,0.8,0.3
STU_0003,INT_0087,4,0.36866877421860106,0.5577260361551476,internship 87,company 87,data science,chennai,30000,1.0,0.8,1.0
STU_0003,INT_0159,5,0.33047719066269965,0.5266526637679331,internship 159,company 159,data science,chennai,30000,1.0,0.8,1.0
STU_0004,INT_0005,1,0.5082247253190135,0.6136121554529695,internship 5,company 5,mobile apps,bangalore,30000,1.0,1.0,0.3
STU_0004,INT_0026,2,0.3308616763802455,0.5666096362959212,internship 26,company 26,ai/ml,chennai,20000,1.0,1.0,1.0
STU_0004,INT_0157,3,0.4478623017467658,0.5450395196009294,internship 157,company 157,web development,chennai,30000,0.3,1.0,1.0
STU_0004,INT_0118,4,0.33059673730883443,0.5385931317792663,internship 118,company 118,ai/ml,chennai,10000,1.0,0.8,1.0
STU_0004,INT_0134,5,0.3294712200926618,0.5098764451106634,internship 134,company 134,mobile apps,chennai,0,1.0,0.6,1.0
STU_0005,INT_0007,1,0.4099285792229513,0.5317183441171848,internship 7,company 7,ai/ml,bangalore,25000,1.0,1.0,0.3
STU_0005,INT_0196,2,0.42776888426795345,0.5184325980611542,internship 196,company 196,ai/ml,mumbai,10000,1.0,0.8,0.3
STU_0005,INT_0008,3,0.45452037528759853,0.5123971562454936,internship 8,company 8,ai/ml,hyderabad,0,1.0,0.6,0.3
STU_0005,INT_0114,4,0.2692984394496113,0.4868014478953636,internship 114,company 114,ai/ml,pune,15000,1.0,0.8,1.0
STU_0005,INT_0009,5,0.3222784815709888,0.4604046181458956,internship 9,company 9,ai/ml,mumbai,25000,1.0,1.0,0.3
STU_0006,INT_0004,1,0.3689075779004113,0.5504418769402096,internship 4,company 4,mobile apps,delhi,15000,1.0,0.8,1.0
STU_0006,INT_0195,2,0.506886021349479,0.4486363892230579,internship 195,company 195,web development,chennai,15000,0.3,0.8,0.3
STU_0006,INT_0011,3,0.5068860213494789,0.44863638922305776,internship 11,company 11,web development,mumbai,30000,0.3,0.8,0.3
STU_0006,INT_0052,4,0.4922823751970791,0.43675459504606523,internship 52,company 52,web development,pune,10000,0.3,0.8,0.3
STU_0006,INT_0084,5,0.34152065439338464,0.430856065692797,internship 84,company 84,mobile apps,hyderabad,25000,1.0,0.8,0.3
STU_0007,INT_0016,1,0.2510277585742154,0.4302068682619338,internship 16,company 16,software development,mumbai,15000,1.0,0.6,1.0
STU_0007,INT_0006,2,0.34743195694743373,0.41133978271976945,internship 6,company 6,software development,bangalore,30000,1.0,0.6,0.3
STU_0007,INT_0176,3,0.21599209592316915,0.40170121096717204,internship 176,company 176,software development,mumbai,15000,1.0,0.6,1.0
STU_0007,INT_0068,4,0.2148953732472898,0.40080889729645924,internship 68,company 68,software development,mumbai,25000,1.0,0.6,1.0
STU_0007,INT_0067,5,0.21225249150447756,0.39865860026963995,internship 67,company 67,software development,mumbai,15000,1.0,0.6,1.0
STU_0008,INT_0001,1,0.5945412768833396,0.6376357129092367,internship 1,company 1,web development,pune,30000,1.0,0.8,0.3
STU_0008,INT_0043,2,0.4480884582287981,0.6157823236590553,internship 43,company 43,web development,delhi,15000,1.0,0.8,1.0
STU_0008,INT_0200,3,0.4480884582287981,0.6157823236590553,internship 200,company 200,web development,delhi,25000,1.0,0.8,1.0
STU_0008,INT_0157,4,0.44515110569115807,0.5160891314837833,internship 157,company 157,web development,chennai,30000,1.0,0.8,0.3
STU_0008,INT_0147,5,0.44515110569115807,0.5160891314837833,internship 147,company 147,web development,hyderabad,20000,1.0,0.8,0.3
STU_0009,INT_0089,1,0.21103567903742446,0.43372640530980855,internship 89,company 89,web development,bangalore,10000,1.0,0.8,1.0
STU_0009,INT_0126,2,0.2099453366180459,0.4328392827327272,internship 126,company 126,web development,bangalore,25000,1.0,0.8,1.0
STU_0009,INT_0070,3,0.20852428247315014,0.431683087034214,internship 70,company 70,web development,bangalore,20000,1.0,0.8,1.0
STU_0009,INT_0007,4,0.345461645076055,0.42633386517133764,internship 7,company 7,ai/ml,bangalore,25000,0.3,0.8,1.0
STU_0009,INT_0170,5,0.14725710059931157,0.38183498490735657,internship 170,company 170,web development,bangalore,25000,1.0,0.8,1.0
STU_0010,INT_0191,1,0.37785567665435127,0.5335631926876552,internship 191,company 191,software development,delhi,0,1.0,0.6,1.0
STU_0010,INT_0104,2,0.3646359175828104,0.42550404609216497,internship 104,company 104,software development,mumbai,15000,1.0,0.6,0.3
STU_0010,INT_0138,3,0.36347958114701484,0.42456322957373527,internship 138,company 138,software development,pune,25000,1.0,0.6,0.3
STU_0010,INT_0068,4,0.35450441571638,0.417260870475303,internship 68,company 68,software development,mumbai,25000,1.0,0.6,0.3
STU_0010,INT_0066,5,0.35246693031047965,0.4156031350043874,internship 66,company 66,web development,hyderabad,25000,1.0,0.6,0.3
STU_0011,INT_0004,1,0.22685526033140627,0.4474315349615959,internship 4,company 4,mobile apps,delhi,15000,1.0,0.8,1.0
STU_0011,INT_0038,2,0.1975822541853694,0.423614480621924,internship 38,company 38,mobile apps,delhi,10000,1.0,0.8,1.0
STU_0011,INT_0072,3,0.1881659565654361,0.4159532082888522,internship 72,company 72,mobile apps,delhi,20000,1.0,0.8,1.0
STU_0011,INT_0129,4,0.33575450344653407,0.4109297016085647,internship 129,company 129,mobile apps,pune,0,1.0,0.6,0.3
STU_0011,INT_0171,5,0.17755436811753988,0.4073194254298958,internship 171,company 171,data science,delhi,25000,1.0,0.8,1.0
STU_0012,INT_0044,1,0.4610427750314314,0.632633007814535,internship 44,company 44,software development,mumbai,25000,1.0,0.8,1.0
STU_0012,INT_0166,2,0.33637706298118064,0.4338993912042936,internship 166,company 166,software development,bangalore,25000,1.0,0.8,0.3
STU_0012,INT_0104,3,0.20489164774608007,0.4242237557108056,internship 104,company 104,software development,mumbai,15000,1.0,0.8,1.0
STU_0012,INT_0170,4,0.3193159817671845,0.42001818281933534,internship 170,company 170,web development,bangalore,25000,1.0,0.8,0.3
STU_0012,INT_0068,5,0.19919868111427813,0.4195918537138895,internship 68,company 68,software development,mumbai,25000,1.0,0.8,1.0
STU_0013,INT_0200,1,0.42569645827773345,0.5101576102704002,internship 200,company 200,web development,delhi,25000,1.0,0.8,0.3
STU_0013,INT_0043,2,0.42569645827773345,0.5101576102704002,internship 43,company 43,web development,delhi,15000,1.0,0.8,0.3
STU_0013,INT_0001,3,0.3019435646324938,0.40946998775783006,internship 1,company 1,web development,pune,30000,1.0,0.8,0.3
STU_0013,INT_0089,4,0.17534240060937217,0.4037682685729021,internship 89,company 89,web development,bangalore,10000,1.0,0.8,1.0
STU_0013,INT_0015,5,0.2726208427965393,0.385612483821612,internship 15,company 15,web development,hyderabad,30000,1.0,0.8,0.3
STU_0014,INT_0088,1,0.5720278937920168,0.5984955038038299,internship 88,company 88,data science,mumbai,0,1.0,0.6,0.3
STU_0014,INT_0183,2,0.4453050255266136,0.5926947638166882,internship 183,company 183,data science,hyderabad,0,1.0,0.6,1.0
STU_0014,INT_0153,3,0.5622051843162156,0.5905035673357797,internship 153,company 153,data science,chennai,0,1.0,0.6,0.3
STU_0014,INT_0042,4,0.358970531335049,0.5502523821663574,internship 42,company 42,data science,hyderabad,15000,1.0,0.8,1.0
STU_0014,INT_0156,5,0.4709785086388096,0.5440808171607222,internship 156,company 156,data science,delhi,20000,1.0,0.8,0.3
STU_0015,INT_0104,1,0.4471472717920756,0.4933040188970143,internship 104,company 104,software development,mumbai,15000,1.0,0.6,0.3
STU_0015,INT_0068,2,0.43472317092795304,0.48319554271502735,internship 68,company 68,software development,mumbai,25000,1.0,0.6,0.3
STU_0015,INT_0014,3,0.21278625264559053,0.39992690647421814,internship 14,company 14,software development,hyderabad,0,1.0,0.6,1.0
STU_0015,INT_0006,4,0.30544767485461766,0.378014629644249,internship 6,company 6,software development,bangalore,30000,1.0,0.6,0.3
STU_0015,INT_0121,5,0.2887164693988772,0.36440181422243634,internship 121,company 121,software development,pune,10000,1.0,0.6,0.3
